tau alpha beta logZsun
1.299926753492187892e+01 5.098799500901097304e+01 2.275791734502371266e+00 1.859426344965342537e-01
1.299944264358634527e+01 5.000400595671688109e+01 2.111890333719141033e+00 1.811532580462191788e-01
1.299678124873330631e+01 5.089642613024201268e+01 2.212201847993022330e+00 1.782135755946940847e-01
1.299940682515994439e+01 5.225421981275247418e+01 2.482855458511318947e+00 1.967903860315960429e-01
1.299910155927097399e+01 5.018594738052109960e+01 2.169163081913273228e+00 1.837839249735568892e-01
1.298894356406576023e+01 5.181793057808970104e+01 2.844031595716570493e+00 2.350167639273599285e-01
1.299895625517947728e+01 5.186580794252762416e+01 2.629136628124067787e+00 2.231721881037804778e-01
1.299832311072120739e+01 5.172572735138408717e+01 2.515188615225192770e+00 2.082161398147173159e-01
1.299654896808749172e+01 5.155394983560427136e+01 2.491342793500338271e+00 2.034821842949501303e-01
1.299924972413498026e+01 5.085446954480247683e+01 2.177795014505303328e+00 1.762490508763194796e-01
1.299057967632707999e+01 4.948220026492980850e+01 2.185218985585971829e+00 1.836192409475265741e-01
1.299721214093354149e+01 5.252236212830695194e+01 2.625329841620439808e+00 2.101129291009673494e-01
1.298900002162141654e+01 5.121917158487681832e+01 2.493269604754959623e+00 1.970496950066418229e-01
1.299995487301497654e+01 5.179908376369901646e+01 2.453153709807429195e+00 2.030561474841792169e-01
1.299893611010728911e+01 5.207440827033263986e+01 2.509955485120222374e+00 2.027112176575798230e-01
1.299751661477167630e+01 5.129164971949064267e+01 2.351745331216665846e+00 1.902313255285275062e-01
1.298226740448930450e+01 5.181434133708116008e+01 2.803412549414753041e+00 2.213841015928488254e-01
1.299667608696040233e+01 5.160714942583103237e+01 2.413792751159016703e+00 1.931917102867486413e-01
1.299782449201428491e+01 5.119586954781339472e+01 2.381495320225311740e+00 1.953420100206839649e-01
1.299919160985511368e+01 5.158919186085389441e+01 2.343905333252739975e+00 1.899861541811254106e-01
1.299642733260704652e+01 4.923891697323118422e+01 2.026914524454779265e+00 1.736626183570599835e-01
1.299893611010728911e+01 5.207440827033263986e+01 2.509955485120222374e+00 2.027112176575798230e-01
1.299787424412587633e+01 5.184704362445044978e+01 2.478702496071040873e+00 2.054694477142797737e-01
1.299791038239833263e+01 5.098501450275239222e+01 2.394113063551708276e+00 2.023849849116126087e-01
1.299868992074927831e+01 5.055860674523978560e+01 2.213460708275443167e+00 1.824781137129152242e-01
1.299885865866551171e+01 5.150173055139468659e+01 2.522006846764595966e+00 2.115176962303744190e-01
1.299115667062131685e+01 5.029409727755205495e+01 2.279302431054031963e+00 1.865207902803511786e-01
1.299392072388423003e+01 5.066792687985297761e+01 2.427933147637669542e+00 2.043604603020674482e-01
1.299534270857498974e+01 5.117971778373630087e+01 2.316461958537047394e+00 1.829260631121365499e-01
1.299553903486214246e+01 5.157668914925491777e+01 2.475615586586528138e+00 2.016324343392859042e-01
1.299980532057608507e+01 5.071235427083018266e+01 2.130301528328887972e+00 1.705670550977562705e-01
1.299978454086611457e+01 5.103357914374342386e+01 2.282552093376218671e+00 1.879993571651858986e-01
1.298277518475313563e+01 5.025397600195190506e+01 2.404836678118917437e+00 1.888016742330869135e-01
1.299813955044022684e+01 5.253155455230073301e+01 2.529426815658294636e+00 1.958803440358773962e-01
1.299453255098806004e+01 5.230616559869277893e+01 2.729090043898056983e+00 2.208122675892330022e-01
1.299759933368389220e+01 5.034073070770030256e+01 2.206470056015367387e+00 1.869142593684021136e-01
1.299539361096941548e+01 5.220673430956374261e+01 2.653122310372814763e+00 2.143597281194464799e-01
1.299818723654850849e+01 5.021121804873300221e+01 2.268800272630447257e+00 1.965727903283434053e-01
1.299782449201428491e+01 5.119586954781339472e+01 2.381495320225311740e+00 1.953420100206839649e-01
1.299980532057608507e+01 5.071235427083018266e+01 2.130301528328887972e+00 1.705670550977562705e-01
1.299784045358305740e+01 5.178992592013666751e+01 2.444921931321105024e+00 1.956794662951741870e-01
1.299683610803158196e+01 5.100271240059016975e+01 2.333665787275708059e+00 1.948476990668845943e-01
1.299802771069000862e+01 5.150007065062577993e+01 2.457905162384713460e+00 2.006075181297695131e-01
1.299702580734192914e+01 5.150361138805431693e+01 2.429076360874652618e+00 1.995569359150772826e-01
1.299387523534394440e+01 5.066945280841161292e+01 2.433815670957743649e+00 2.054956078666010377e-01
1.299768786889765870e+01 5.188809106594190013e+01 2.537586790068994791e+00 2.054430497416541712e-01
1.299978454086611457e+01 5.103357914374342386e+01 2.282552093376218671e+00 1.879993571651858986e-01
1.299706004335809340e+01 5.188102218375482977e+01 2.511506245565608975e+00 2.020085909201396746e-01
1.299070665043660355e+01 5.026041038073547185e+01 2.333373888732242829e+00 1.925012131962318129e-01
1.299695235954416717e+01 5.194136812100244072e+01 2.438555022510758175e+00 1.950981207131556872e-01
1.299936186031636076e+01 5.250587819509209453e+01 2.515914395022976535e+00 1.927885555257318195e-01
1.299457443790880085e+01 5.147043778663226021e+01 2.650044590651103871e+00 2.233908860704296728e-01
1.299940331250225611e+01 5.220722060332478520e+01 2.459825814294681834e+00 1.903128633210964260e-01
1.299743124187853560e+01 5.095485661604892158e+01 2.292420591114717965e+00 1.900879797119974235e-01
1.299819063783821704e+01 4.961443993660139284e+01 2.024785543542054089e+00 1.676286361740055852e-01
1.299752642913000678e+01 5.204596826444175406e+01 2.519732470208563946e+00 1.978454276270440459e-01
1.299750908257752613e+01 5.249754777805450345e+01 2.785155104533617365e+00 2.325985285784870626e-01
1.299778264814242412e+01 5.257149366994807593e+01 2.705360883131110672e+00 2.189153960534784282e-01
1.299926753492187892e+01 5.098799500901097304e+01 2.275791734502371266e+00 1.859426344965342537e-01
1.299978454086611457e+01 5.103357914374342386e+01 2.282552093376218671e+00 1.879993571651858986e-01
1.299020733091388102e+01 5.217626567907830548e+01 2.732951580623392385e+00 2.221117416421356516e-01
1.299746070430769862e+01 5.221061255761514985e+01 2.527663139838959072e+00 1.995443842315136607e-01
1.299830213383191335e+01 5.209064040941841967e+01 2.486558463548942388e+00 1.992282353255117044e-01
1.299778511723035024e+01 5.071829770454074549e+01 2.284971556783897295e+00 1.938254483937611461e-01
1.299699774110229988e+01 5.142821926094620721e+01 2.436738740072207587e+00 1.953650751362729920e-01
1.299453255098806004e+01 5.230616559869277893e+01 2.729090043898056983e+00 2.208122675892330022e-01
1.299893611010728911e+01 5.207440827033263986e+01 2.509955485120222374e+00 2.027112176575798230e-01
1.299878931549841532e+01 5.143115696056143804e+01 2.499800090191193203e+00 2.102836415884370425e-01
1.299336147635548855e+01 5.217291247708364210e+01 2.691993057347943363e+00 2.155877623796409459e-01
1.299183733151750175e+01 5.022026729585438432e+01 2.253605831690772554e+00 1.844030415453499216e-01
1.299667320456150321e+01 5.127187207772986710e+01 2.336201424629111845e+00 1.905084253090256752e-01
1.299623655851576842e+01 5.090245218696077956e+01 2.391566898778006323e+00 2.007422009025052745e-01
1.299761387644828403e+01 5.108516812389552086e+01 2.329764185636832519e+00 1.910801756257702877e-01
1.299963578104765816e+01 5.068346926664003149e+01 2.171096243916580626e+00 1.753248687586710375e-01
1.298528300219252962e+01 5.139524904547972994e+01 2.689956101577252845e+00 2.161749108626080940e-01
1.298896072542954805e+01 5.136243583764893827e+01 2.504385735447512751e+00 1.960682622328988600e-01
1.299893792158648331e+01 5.350614066601878704e+01 2.766495655220641225e+00 2.139124940851928613e-01
1.299614901731604810e+01 5.194348267037373290e+01 2.586277527575558288e+00 2.103685438140763253e-01
1.299987581848778539e+01 5.187095259168945915e+01 2.401360636400555304e+00 1.945938589280453712e-01
1.299676280273183515e+01 5.162376469502769538e+01 2.549891485757347809e+00 2.135069283052231093e-01
1.298576659830651536e+01 4.912328539151997830e+01 2.087542944342661411e+00 1.676142662913893133e-01
1.299961479305761358e+01 5.145274989033827495e+01 2.415259581806635580e+00 1.982572812373595283e-01
1.299671452491390156e+01 5.263908393834056909e+01 2.680059795128351130e+00 2.146244400710255462e-01
1.299097031466088481e+01 5.193800977683647346e+01 2.732199573958268068e+00 2.224860750117443331e-01
1.299694295890878060e+01 5.160383162371118715e+01 2.485797522340166932e+00 2.074631968855649156e-01
1.299695235954416717e+01 5.194136812100244072e+01 2.438555022510758175e+00 1.950981207131556872e-01
1.298296995292486855e+01 5.007532307311075925e+01 2.370802493478616046e+00 1.938986514255831572e-01
1.299785159292285464e+01 5.177262908326027002e+01 2.475835387580107572e+00 2.008150329673821233e-01
1.299491598423903937e+01 5.122882950500225974e+01 2.351018267776793014e+00 1.864795505070042658e-01
1.299233168747245060e+01 5.118157212371234266e+01 2.393446761900468456e+00 1.924684316421729768e-01
1.299433038487240211e+01 5.116772803101014233e+01 2.287109132502911368e+00 1.811366303476131812e-01
1.299694257396243735e+01 5.183183968248340534e+01 2.572670227545011734e+00 2.131440306315774968e-01
