logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -6.373274000000000000e+06 -6.373279992714286782e+06 nan
-6.373279992714286782e+06 nan -2.500000000000000052e-03 4.000000000000000000e+02 -9.074362500000000000e+05 -9.074422452142867260e+05 nan
-9.074422452142867260e+05 nan -5.000000000000000104e-03 4.000000000000000000e+02 -9.063234375000000000e+05 -9.063294352142866701e+05 nan
-9.063294352142866701e+05 nan -7.499999999999999722e-03 4.000000000000000000e+02 -7.105555000000000000e+05 -7.105615002142867306e+05 nan
-7.105615002142867306e+05 nan -1.000000000000000021e-02 4.000000000000000000e+02 -5.800886250000000000e+05 -5.800946277142866747e+05 nan
-5.800946277142866747e+05 nan -1.250000000000000069e-02 4.000000000000000000e+02 -5.358653125000000000e+05 -5.358713177142867353e+05 nan
-5.358713177142867353e+05 4.886873129662494466e+04 -1.500000000000000118e-02 4.000000000000000000e+02 -5.182430000000000000e+05 -5.182490077142866794e+05 nan
-5.182490077142866794e+05 1.746565374961743146e+04 -1.750000000000000167e-02 4.000000000000000000e+02 -4.598838750000000000e+05 -4.598898852142866817e+05 nan
-4.598898852142866817e+05 3.808745566498698463e+04 -2.000000000000000042e-02 4.000000000000000000e+02 -4.274514375000000000e+05 -4.274574502142866841e+05 nan
-4.274574502142866841e+05 3.357629800585163321e+04 -2.249999999999999917e-02 4.000000000000000000e+02 -4.238061875000000000e+05 -4.238122027142866864e+05 nan
-4.238122027142866864e+05 9.750319896920313113e+03 -2.499999999999999792e-02 4.000000000000000000e+02 -4.089013125000000000e+05 -4.089073302142866887e+05 nan
-4.089073302142866887e+05 1.463805287986108306e+04 -2.749999999999999667e-02 4.000000000000000000e+02 -4.049199375000000000e+05 -4.049259577142866910e+05 nan
-4.049259577142866910e+05 5.203919009078410454e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -4.013774375000000000e+05 -4.013834602142866934e+05 nan
-4.013834602142866934e+05 1.320530773180830465e+03 -3.249999999999999417e-02 4.000000000000000000e+02 -3.997208750000000000e+05 -3.997269002142866957e+05 nan
-3.997269002142866957e+05 8.170362751902175660e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -3.927282812500000000e+05 -3.927343089642866980e+05 nan
-3.927343089642866980e+05 3.634823080642661353e+03 -3.749999999999999861e-02 4.000000000000000000e+02 -3.913702500000000000e+05 -3.913762802142867004e+05 nan
-3.913762802142867004e+05 2.725143988888210515e+03 -4.000000000000000083e-02 4.000000000000000000e+02 -3.828458750000000000e+05 -3.828519077142867027e+05 nan
-3.828519077142867027e+05 5.816736898071741962e+03 -4.250000000000000305e-02 4.000000000000000000e+02 -3.799176250000000000e+05 -3.799236602142867050e+05 nan
-3.799236602142867050e+05 4.267771945944236904e+03 -4.500000000000000527e-02 4.000000000000000000e+02 -3.765490000000000000e+05 -3.765550377142867073e+05 nan
-3.765550377142867073e+05 4.119228670995268658e+03 -4.750000000000000749e-02 4.000000000000000000e+02 -3.638224687500000000e+05 -3.638285089642867097e+05 nan
-3.638285089642867097e+05 4.743634315795600742e+03 -5.000000000000000971e-02 4.000000000000000000e+02 -3.605494062500000000e+05 -3.605554489642867120e+05 nan
-3.605554489642867120e+05 9.041403064489754797e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -3.529869375000000000e+05 -3.529929827142867143e+05 nan
-3.529929827142867143e+05 4.144558653043472077e+03 -5.500000000000001416e-02 4.000000000000000000e+02 -3.529486875000000000e+05 -3.529547352142867167e+05 nan
-3.529547352142867167e+05 3.583019213679598124e+03 -5.750000000000001638e-02 4.000000000000000000e+02 -3.498808437500000000e+05 -3.498868939642867190e+05 nan
-3.498868939642867190e+05 2.951428145599641084e+03 -6.000000000000001860e-02 4.000000000000000000e+02 -3.454915625000000000e+05 -3.454976152142866631e+05 nan
-3.454976152142866631e+05 4.261294143530593828e+03 -6.250000000000001388e-02 4.000000000000000000e+02 -3.418082187500000000e+05 -3.418142739642866654e+05 nan
-3.418142739642866654e+05 2.506861315896554970e+03 -6.500000000000001610e-02 4.000000000000000000e+02 -3.405563750000000000e+05 -3.405624327142866678e+05 nan
-3.405624327142866678e+05 2.754051582753329058e+03 -6.750000000000001832e-02 4.000000000000000000e+02 -3.362692812500000000e+05 -3.362753414642866701e+05 nan
-3.362753414642866701e+05 3.665336619026643802e+03 -7.000000000000002054e-02 4.000000000000000000e+02 -3.309353125000000000e+05 -3.309413752142866724e+05 nan
-3.309413752142866724e+05 5.388580201568186567e+03 -7.250000000000002276e-02 4.000000000000000000e+02 -3.292708437500000000e+05 -3.292769089642866747e+05 nan
