weight logl tau alpha beta logZsun
0.000000000000000000e+00 -6.373274000000000000e+06 1.093479692874189529e-01 9.766719672139330441e+02 8.684711768335221223e+02 -1.785540316241587933e+00
0.000000000000000000e+00 -9.074362500000000000e+05 1.288716042999869060e+01 1.399848323773006342e+01 3.822922946952051149e+01 -1.579278001630735506e+00
0.000000000000000000e+00 -9.063234375000000000e+05 1.270802658991898859e+01 6.638705312283063042e-01 2.947923524506712170e+02 4.518918205960726908e-01
0.000000000000000000e+00 -7.105555000000000000e+05 1.131928874435171828e+01 4.901003904222320795e-01 3.282306023508757562e+02 -1.665184611577918083e+00
0.000000000000000000e+00 -5.800886250000000000e+05 9.294446546996942615e+00 8.340082821805895330e-01 1.921405071710785606e+01 -2.122161433083296522e+00
0.000000000000000000e+00 -5.358653125000000000e+05 1.135295733980830235e+01 1.498281672728417058e-01 5.725360820709132881e+00 -1.362930895725039449e+00
0.000000000000000000e+00 -5.182430000000000000e+05 8.667619544838387924e+00 5.489940707263122333e-01 1.150015640533604824e+02 -1.995082402821097611e+00
0.000000000000000000e+00 -4.598838750000000000e+05 9.205334084985121734e+00 1.826539683487165000e+00 2.881124830730653841e+01 -1.935424319593111342e+00
0.000000000000000000e+00 -4.274514375000000000e+05 1.111925471676481342e-01 1.543008262432796052e+01 4.508230974935342417e+00 4.206540250446484386e-01
0.000000000000000000e+00 -4.238061875000000000e+05 3.133791074232119556e-01 1.276083376633070898e+01 7.698276459835496155e+01 4.031072837337688064e-01
0.000000000000000000e+00 -4.089013125000000000e+05 1.405077008090303003e+00 2.111173923423708061e+02 1.289840451168892059e+02 4.961939939429003132e-01
0.000000000000000000e+00 -4.049199375000000000e+05 2.427586015135660524e+00 1.735571816791374455e-01 3.352547515902788433e+00 -2.496223725213721600e+00
0.000000000000000000e+00 -4.013774375000000000e+05 4.290822619909048896e+00 1.082301895127950331e-01 9.573623436404221820e+01 -2.073326588213215693e+00
0.000000000000000000e+00 -3.997208750000000000e+05 1.672324403357356992e-01 5.163974630784599285e+00 6.402738212775591187e+00 3.703067608963128698e-01
0.000000000000000000e+00 -3.927282812500000000e+05 3.129660622568035233e+00 2.631933977948657244e+01 1.216912191509901930e+00 4.788174706309922257e-01
0.000000000000000000e+00 -3.913702500000000000e+05 1.771987382637504327e+00 1.631659402305707385e-01 5.536648919657433110e-01 -2.260835657997329662e+00
0.000000000000000000e+00 -3.828458750000000000e+05 4.248013071511933525e+00 8.629279567443384167e+02 4.890943236643892078e-01 4.433080445597195052e-01
0.000000000000000000e+00 -3.799176250000000000e+05 1.091063201035814417e-01 8.431803712897063861e+02 1.180762231911450399e+01 3.455022165473047302e-01
0.000000000000000000e+00 -3.765490000000000000e+05 1.030960682772009207e+01 3.359741693004553720e-01 3.549511390408272860e+02 -3.692221526720951275e-01
0.000000000000000000e+00 -3.638224687500000000e+05 6.006059901438859150e+00 1.020962556192092974e+00 7.467703116813892450e+01 -2.124997536289129130e+00
0.000000000000000000e+00 -3.605494062500000000e+05 5.410593536083305732e-01 1.748596975240659657e-01 1.114622143243130239e+02 -2.324856439291256294e+00
0.000000000000000000e+00 -3.529869375000000000e+05 1.793674052621919146e-01 2.125707814980887511e-01 2.049981286261294555e-01 -2.266323804607206949e+00
0.000000000000000000e+00 -3.529486875000000000e+05 2.464284077606086754e-01 4.109257707558954280e+02 7.130454832327419581e+02 3.149783221529620647e-01
0.000000000000000000e+00 -3.498808437500000000e+05 8.856602609507510104e-01 2.512834184677036897e-01 2.132164239680733147e+02 -2.496663785124691337e+00
0.000000000000000000e+00 -3.454915625000000000e+05 1.135567916199641481e+00 1.802661944424260128e+02 1.761149724397594696e+01 3.180344459472621566e-01
