weight logl tau alpha beta logZsun
0.000000000000000000e+00 -6.373274000000000000e+06 1.835939552397225505e-02 9.974371806557573716e-01 9.846888523711184726e-01 2.381532279194706891e-01
0.000000000000000000e+00 -9.074362500000000000e+05 9.982089788286008236e-01 5.365202453986708253e-01 6.455988861676673629e-01 3.069073327897547943e-01
0.000000000000000000e+00 -9.063234375000000000e+05 9.953332536397448971e-01 2.055208477578360782e-01 8.673790531994384212e-01 9.839639401986909339e-01
0.000000000000000000e+00 -7.105555000000000000e+05 9.715582663377779760e-01 1.725712621197680319e-01 8.790447674368381259e-01 2.782717961406939722e-01
0.000000000000000000e+00 -5.800886250000000000e+05 9.310673022319347902e-01 2.302925908631122676e-01 5.709047331810201964e-01 1.259461889722345296e-01
0.000000000000000000e+00 -5.358653125000000000e+05 9.721684375777726039e-01 4.389836679416436738e-02 4.394507154387901071e-01 3.790230347583202208e-01
0.000000000000000000e+00 -5.182430000000000000e+05 9.167226917864641500e-01 1.848919134965166799e-01 7.651759367299785231e-01 1.683058657263007962e-01
0.000000000000000000e+00 -4.598838750000000000e+05 9.290880725985656285e-01 3.154072780381993457e-01 6.148905188501297969e-01 1.881918934689629230e-01
0.000000000000000000e+00 -4.274514375000000000e+05 2.179608029250346135e-02 5.470920629025924908e-01 4.135015396524214237e-01 9.735513416815494425e-01
0.000000000000000000e+00 -4.238061875000000000e+05 2.346657202091472216e-01 5.264697628025345466e-01 7.215983758460835507e-01 9.677024279112562688e-01
0.000000000000000000e+00 -4.089013125000000000e+05 5.429190550585791808e-01 8.311310032430405670e-01 7.776339982216518010e-01 9.987313313143000304e-01
0.000000000000000000e+00 -4.049199375000000000e+05 6.552562657015461589e-01 5.986064729801010564e-02 3.813437354637313481e-01 1.258758262092762870e-03
0.000000000000000000e+00 -4.013774375000000000e+05 7.722726153674071004e-01 8.587104726026639767e-03 7.452690852958835377e-01 1.422244705955948429e-01
0.000000000000000000e+00 -3.997208750000000000e+05 1.056416800381263510e-01 4.282460250069747287e-01 4.515914363231656736e-01 9.567689202987709196e-01
0.000000000000000000e+00 -3.927282812500000000e+05 7.074443333525017863e-01 6.050687477008850346e-01 2.713148105150919864e-01 9.929391568769974086e-01
0.000000000000000000e+00 -3.913702500000000000e+05 5.905837655601586800e-01 5.315737697199784950e-02 1.858117464148475451e-01 7.972144733422348306e-02
0.000000000000000000e+00 -3.828458750000000000e+05 7.702126183567055140e-01 9.839936348226535623e-01 1.723481556278627647e-01 9.811026815199065387e-01
0.000000000000000000e+00 -3.799176250000000000e+05 1.790488295779923966e-02 9.814801219707377511e-01 5.180406133185109230e-01 9.485007388491015767e-01
0.000000000000000000e+00 -3.765490000000000000e+05 9.523633170834930883e-01 1.315764722034828971e-01 8.875421435416540605e-01 7.102592824426350315e-01
0.000000000000000000e+00 -3.638224687500000000e+05 8.413610787534707702e-01 2.522524536565586839e-01 7.182967609931888431e-01 1.250008212369568827e-01
0.000000000000000000e+00 -3.605494062500000000e+05 3.468611912143101383e-01 6.067243070035366337e-02 7.617819166405646047e-01 5.838118690291460577e-02
0.000000000000000000e+00 -3.529869375000000000e+05 1.200332664462248067e-01 8.187589229727776363e-02 7.793747412850549061e-02 7.789206513093105411e-02
0.000000000000000000e+00 -3.529486875000000000e+05 1.852891519191141034e-01 9.034408446036903406e-01 9.632793082999182577e-01 9.383261073843206512e-01
0.000000000000000000e+00 -3.498808437500000000e+05 4.481043248136746815e-01 1.000409578966826585e-01 8.322051637893588261e-01 1.112071625102850625e-03
0.000000000000000000e+00 -3.454915625000000000e+05 4.991681127709421961e-01 8.139785726350474704e-01 5.614490697861932444e-01 9.393448153157539782e-01
0.000000000000000000e+00 -3.418082187500000000e+05 9.535957793594905807e-01 1.691581617326815001e-01 2.833226815900621309e-01 3.355354626736867241e-01
0.000000000000000000e+00 -3.405563750000000000e+05 5.768552970982412376e-01 9.318007354478506921e-01 3.674988928289086854e-01 9.388254419285709806e-01
0.000000000000000000e+00 -3.362692812500000000e+05 7.092105641843345909e-01 1.560323538799890386e-02 3.483619760857307179e-01 2.361434341594990105e-01
0.000000000000000000e+00 -3.309353125000000000e+05 1.909743275464724777e-01 7.915773265658809787e-02 8.491653021581351268e-01 9.547563445450468755e-02
0.000000000000000000e+00 -3.292708437500000000e+05 6.433792499558830258e-01 6.613162113074610993e-03 1.507084663228389632e-01 2.003066362850987048e-01
0.000000000000000000e+00 -3.285330000000000000e+05 2.443798341947613917e-01 1.164284875561134580e-01 6.079254885133883457e-01 4.920311841500835115e-02
0.000000000000000000e+00 -3.205663750000000000e+05 1.201145185750125410e-01 6.448765594968003390e-01 5.781644015813570681e-01 9.237414214359196407e-01
0.000000000000000000e+00 -3.202377500000000000e+05 8.697845877613267218e-01 1.682867191359979087e-01 8.067126621479441262e-01 3.722209043518960314e-01
0.000000000000000000e+00 -3.171279062500000000e+05 2.874666142245703160e-01 9.924391885125718460e-01 5.627761917702914785e-01 9.220651383313019922e-01
0.000000000000000000e+00 -3.170309687500000000e+05 1.999699883230505737e-01 7.927631459475517062e-01 7.060354110459217125e-01 9.220174718372561307e-01
0.000000000000000000e+00 -3.142973437500000000e+05 6.824567824989133946e-01 9.651764032822873762e-02 4.751399245070770938e-01 2.065177566517402141e-01
0.000000000000000000e+00 -3.136017500000000000e+05 9.091852373459965442e-01 2.754072387228547747e-01 7.324046421217816905e-01 4.046552934435082571e-01
0.000000000000000000e+00 -3.134890625000000000e+05 2.104734716878666756e-01 7.371166979679530940e-01 8.618983302733281837e-01 9.202615101101579986e-01
0.000000000000000000e+00 -3.113745937500000000e+05 1.551652730711561290e-01 9.041887776054438053e-01 7.650980635523874085e-01 9.191991090346238735e-01
0.000000000000000000e+00 -3.106462187500000000e+05 7.513028566948619646e-01 1.669378847764176887e-01 8.760384744199508633e-01 2.033494309638349540e-01
0.000000000000000000e+00 -3.094404375000000000e+05 6.590333470035532049e-01 7.226191920584624784e-01 5.502988685370170385e-01 9.319783230620188874e-01
0.000000000000000000e+00 -3.067601562500000000e+05 5.855218272062457929e-01 7.058329195617883967e-01 4.680084832085946722e-01 9.247080372261901049e-01
0.000000000000000000e+00 -3.049959375000000000e+05 1.197797676088002694e-01 1.654383420439076158e-02 1.184095053800461317e-01 2.016132716993066509e-01
0.000000000000000000e+00 -3.036004687500000000e+05 1.188999866761168978e-01 8.431225421812623688e-01 1.694484546202966735e-01 9.138166025493251743e-01
0.000000000000000000e+00 -2.986215312500000000e+05 8.867199188811240029e-01 1.844049003222545391e-01 3.836388033040063483e-01 4.469436146593367409e-01
