t0 tau logZsun
1.099739684420945807e+01 4.183979099474675611e-01 2.264836281777267146e-01
1.066136844823285301e+01 4.743442348428890676e-01 1.334540573544789055e-01
1.087669044822094477e+01 4.415907949909449459e-01 1.966197734827312971e-01
1.095336231282300332e+01 4.241541031055834354e-01 1.930138188566985491e-01
1.071374918483661887e+01 4.683814149697413387e-01 1.676620242999908861e-01
1.082268732758494778e+01 4.496695673191227760e-01 1.844942170215118082e-01
1.096778419074781397e+01 4.233998024044719477e-01 2.082679011121841839e-01
1.064615110123053299e+01 4.791252714048398476e-01 1.376172307096115155e-01
1.082574709937845903e+01 4.467296022949258094e-01 1.756989592720663573e-01
1.090643579570527244e+01 4.350534032880256086e-01 1.944893187232050735e-01
1.065487289818196182e+01 4.759435470576086069e-01 1.354640641743629637e-01
1.088973271632652917e+01 4.378760223553227471e-01 1.919886734611817580e-01
1.061758611793757900e+01 4.831025525451504432e-01 1.318677203222224925e-01
1.093641527820529014e+01 4.300798631492799284e-01 2.045202369666752062e-01
1.054573708944722732e+01 4.989415207800103058e-01 1.431817696305870413e-01
1.096491840691722430e+01 4.244244481595529361e-01 2.123054843071132680e-01
1.060363050730624046e+01 4.887811350506447439e-01 1.452645870016930907e-01
1.095252790454381397e+01 4.252985605949855530e-01 2.017918355614645165e-01
1.059389154636424379e+01 4.869136684800290937e-01 1.243920680463563855e-01
1.051210849942688341e+01 5.007653714804704004e-01 1.222190113899022101e-01
1.086827263286205714e+01 4.410038555116856940e-01 1.884727987803485050e-01
1.068214953981029325e+01 4.746815499105492830e-01 1.631712012906589848e-01
1.068702777450771890e+01 4.692500241317551501e-01 1.402239341411322116e-01
1.091527248542496586e+01 4.346224730434384287e-01 2.046196071244108516e-01
1.068652814934021045e+01 4.728418836614504683e-01 1.562360544845300403e-01
1.062077255121359443e+01 4.838522838602776766e-01 1.352306738265220964e-01
1.085574004943610049e+01 4.428936075419166452e-01 1.801142079414308483e-01
1.059215559609324053e+01 4.854889321242168432e-01 1.180887320989669753e-01
1.065533892416222450e+01 4.774818189603176610e-01 1.443257044202126416e-01
1.093913581946225122e+01 4.287189421533300071e-01 2.007803826460268226e-01
1.068878294796085093e+01 4.724846677703644082e-01 1.541741858003344845e-01
1.057612985391291360e+01 4.907862657674864626e-01 1.270507667517781769e-01
1.049381122146085765e+01 5.018403381817337916e-01 1.023522931173026507e-01
1.068637875287857320e+01 4.726853203515590796e-01 1.517406048178484568e-01
1.094160680874501246e+01 4.281975694810386535e-01 2.004632343533434558e-01
1.053874517424237034e+01 4.963567863423554716e-01 1.206363120415208101e-01
1.064150539929941175e+01 4.794046107733300754e-01 1.316552320378621133e-01
1.070160157562150793e+01 4.702795200526857511e-01 1.653779620468975864e-01
1.090124384636735400e+01 4.355704300675742879e-01 1.927473922349518531e-01
1.065361294533180114e+01 4.802925852871846035e-01 1.549636987405058619e-01
