logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.000000000000000000e+03 -2.065328500000000000e+06 -2.065335408255237387e+06 8.000000000000000167e-02
-2.065335408255237387e+06 nan -1.000000000000000021e-03 1.000000000000000000e+03 -2.026259875000000000e+06 -2.026266784255237319e+06 1.558000000000000052e+00
-2.026266784255237319e+06 1.926108042057543207e+04 -2.000000000000000042e-03 1.000000000000000000e+03 -2.016253750000000000e+06 -2.016260660255237250e+06 3.099999999999999978e-01
-2.016260660255237250e+06 4.332486239735433628e+03 -3.000000000000000062e-03 1.000000000000000000e+03 -1.993117250000000000e+06 -1.993124161255237414e+06 2.359999999999999876e-01
-1.993124161255237414e+06 1.170213460309036964e+04 -4.000000000000000083e-03 1.000000000000000000e+03 -1.983549500000000000e+06 -1.983556412255237345e+06 1.000000000000000000e+00
-1.983556412255237345e+06 1.393935215930513186e+04 -5.000000000000000104e-03 1.000000000000000000e+03 -1.928388500000000000e+06 -1.928395413255237276e+06 2.660000000000000142e-01
-1.928395413255237276e+06 3.600072660944500240e+04 -6.000000000000000125e-03 1.000000000000000000e+03 -1.901172750000000000e+06 -1.901179664255237207e+06 1.169999999999999929e+00
-1.901179664255237207e+06 4.406106991320140514e+04 -7.000000000000000146e-03 1.000000000000000000e+03 -1.877439000000000000e+06 -1.877445915255237371e+06 1.848000000000000087e+00
-1.877445915255237371e+06 1.558666748511692458e+04 -8.000000000000000167e-03 1.000000000000000000e+03 -1.859440000000000000e+06 -1.859446916255237302e+06 1.975999999999999979e+00
-1.859446916255237302e+06 7.794185997019387287e+03 -9.000000000000001055e-03 1.000000000000000000e+03 -1.850370125000000000e+06 -1.850377042255237233e+06 1.203999999999999959e+00
-1.850377042255237233e+06 9.631913793989022452e+03 -1.000000000000000194e-02 1.000000000000000000e+03 -1.824352750000000000e+06 -1.824359668255237397e+06 7.920000000000000373e-01
-1.824359668255237397e+06 1.489445673514970804e+04 -1.100000000000000283e-02 1.000000000000000000e+03 -1.780082375000000000e+06 -1.780089294255237328e+06 3.459999999999999742e-01
-1.780089294255237328e+06 2.850441680340988023e+04 -1.200000000000000372e-02 1.000000000000000000e+03 -1.768969625000000000e+06 -1.768976545255237259e+06 1.040000000000000036e+00
-1.768976545255237259e+06 2.364106055503733296e+04 -1.300000000000000461e-02 1.000000000000000000e+03 -1.765872500000000000e+06 -1.765879421255237423e+06 1.415999999999999925e+00
-1.765879421255237423e+06 2.138583524657754606e+04 -1.400000000000000550e-02 1.000000000000000000e+03 -1.708315750000000000e+06 -1.708322672255237354e+06 1.407999999999999918e+00
-1.708322672255237354e+06 2.750841506679431041e+04 -1.500000000000000638e-02 1.000000000000000000e+03 -1.701621875000000000e+06 -1.701628798255237285e+06 1.364000000000000101e+00
-1.701628798255237285e+06 3.154768631206817645e+03 -1.600000000000000727e-02 1.000000000000000000e+03 -1.595782750000000000e+06 -1.595789674255237216e+06 1.000000000000000056e-01
-1.595789674255237216e+06 4.682321159623134736e+04 -1.700000000000000816e-02 1.000000000000000000e+03 -1.588888625000000000e+06 -1.588895550255237380e+06 1.493999999999999995e+00
-1.588895550255237380e+06 4.110197567964204063e+04 -1.800000000000000905e-02 1.000000000000000000e+03 -1.583092625000000000e+06 -1.583099551255237311e+06 1.457999999999999963e+00
-1.583099551255237311e+06 4.321852045739755704e+04 -1.900000000000000994e-02 1.000000000000000000e+03 -1.559990875000000000e+06 -1.559997802255237242e+06 6.119999999999999885e-01
-1.559997802255237242e+06 1.092606407359768673e+04 -2.000000000000001082e-02 1.000000000000000000e+03 -1.555814375000000000e+06 -1.555821303255237406e+06 4.600000000000000200e-01
-1.555821303255237406e+06 1.556553033420495922e+03 -2.100000000000001171e-02 1.000000000000000000e+03 -1.540042375000000000e+06 -1.540049304255237337e+06 4.179999999999999827e-01
-1.540049304255237337e+06 7.496636908632009181e+03 -2.200000000000001260e-02 1.000000000000000000e+03 -1.539175625000000000e+06 -1.539182555255237268e+06 2.740000000000000213e-01
-1.539182555255237268e+06 4.090612998067008448e+02 -2.300000000000001349e-02 1.000000000000000000e+03 -1.535600500000000000e+06 -1.535607431255237199e+06 1.752000000000000002e+00
-1.535607431255237199e+06 1.685417801699166148e+03 -2.400000000000001438e-02 1.000000000000000000e+03 -1.530921625000000000e+06 -1.530928557255237363e+06 1.943999999999999950e+00
-1.530928557255237363e+06 3.704560384252340555e+03 -2.500000000000001527e-02 1.000000000000000000e+03 -1.528083875000000000e+06 -1.528090808255237294e+06 1.078000000000000069e+00
-1.528090808255237294e+06 1.229269935930538395e+03 -2.600000000000001615e-02 1.000000000000000000e+03 -1.495763000000000000e+06 -1.495769934255237225e+06 1.660000000000000087e-01
-1.495769934255237225e+06 1.592648394524374999e+04 -2.700000000000001704e-02 1.000000000000000000e+03 -1.489624500000000000e+06 -1.489631435255237389e+06 1.806000000000000050e+00
-1.489631435255237389e+06 1.422638477154478096e+04 -2.800000000000001793e-02 1.000000000000000000e+03 -1.479704750000000000e+06 -1.479711686255237320e+06 8.319999999999999618e-01
-1.479711686255237320e+06 1.339801623366929380e+04 -2.900000000000001882e-02 1.000000000000000000e+03 -1.462887125000000000e+06 -1.462894062255237252e+06 5.400000000000000355e-01
-1.462894062255237252e+06 1.059139389395609942e+04 -3.000000000000001971e-02 1.000000000000000000e+03 -1.455956000000000000e+06 -1.455962938255237415e+06 1.655999999999999917e+00
-1.455962938255237415e+06 8.799616545613005655e+03 -3.100000000000002059e-02 1.000000000000000000e+03 -1.455044375000000000e+06 -1.455051314255237347e+06 1.439999999999999947e+00
-1.455051314255237347e+06 9.004614044064002883e+03 -3.200000000000002148e-02 1.000000000000000000e+03 -1.450584000000000000e+06 -1.450590940255237278e+06 2.540000000000000036e-01
-1.450590940255237278e+06 3.718214042982308456e+03 -3.300000000000002237e-02 1.000000000000000000e+03 -1.450006375000000000e+06 -1.450013316255237209e+06 8.619999999999999885e-01
-1.450013316255237209e+06 3.483783463663818566e+03 -3.400000000000002326e-02 1.000000000000000000e+03 -1.440380500000000000e+06 -1.440387442255237373e+06 1.320000000000000062e+00
-1.440387442255237373e+06 6.905716760467663335e+03 -3.500000000000002415e-02 1.000000000000000000e+03 -1.429617000000000000e+06 -1.429623943255237304e+06 1.719999999999999973e+00
-1.429623943255237304e+06 8.038542560975641209e+03 -3.600000000000002504e-02 1.000000000000000000e+03 -1.426829000000000000e+06 -1.426835944255237235e+06 1.264000000000000012e+00
-1.426835944255237235e+06 3.754301581204061222e+03 -3.700000000000002592e-02 1.000000000000000000e+03 -1.425198500000000000e+06 -1.425205445255237399e+06 1.695999999999999952e+00
-1.425205445255237399e+06 7.681323576325846716e+02 -3.800000000000002681e-02 1.000000000000000000e+03 -1.383954750000000000e+06 -1.383961696255237330e+06 1.149999999999999911e+00
-1.383961696255237330e+06 2.049813527887763848e+04 -3.900000000000002770e-02 1.000000000000000000e+03 -1.363643875000000000e+06 -1.363650822255237261e+06 1.205999999999999961e+00
-1.363650822255237261e+06 1.773997957237161245e+04 -4.000000000000002859e-02 1.000000000000000000e+03 -1.352338625000000000e+06 -1.352345573255237425e+06 1.374000000000000110e+00
-1.352345573255237425e+06 3.123910437030310277e+03 -4.100000000000002948e-02 1.000000000000000000e+03 -1.349127750000000000e+06 -1.349134699255237356e+06 8.539999999999999813e-01
-1.349134699255237356e+06 3.974392363252084579e+03 -4.200000000000003036e-02 1.000000000000000000e+03 -1.348598875000000000e+06 -1.348605825255237287e+06 2.159999999999999976e-01
-1.348605825255237287e+06 4.111867923955391234e+03 -4.300000000000003125e-02 1.000000000000000000e+03 -1.348260375000000000e+06 -1.348267326255237218e+06 1.316000000000000059e+00
-1.348267326255237218e+06 2.581285188375932762e+02 -4.400000000000003214e-02 1.000000000000000000e+03 -1.338683125000000000e+06 -1.338690077255237382e+06 1.179999999999999938e+00
-1.338690077255237382e+06 4.556131098949858824e+03 -4.500000000000003303e-02 1.000000000000000000e+03 -1.321887875000000000e+06 -1.321894828255237313e+06 3.659999999999999920e-01
-1.321894828255237313e+06 1.028813407969010950e+04 -4.600000000000003392e-02 1.000000000000000000e+03 -1.308644750000000000e+06 -1.308651704255237244e+06 6.800000000000000488e-02
-1.308651704255237244e+06 1.122834081886105014e+04 -4.700000000000003481e-02 1.000000000000000000e+03 -1.288989000000000000e+06 -1.288995955255237408e+06 3.300000000000000155e-01
-1.288995955255237408e+06 1.296285649768329858e+04 -4.800000000000003569e-02 1.000000000000000000e+03 -1.286312000000000000e+06 -1.286318956255237339e+06 1.179999999999999938e-01
-1.286318956255237339e+06 6.078414096499807783e+03 -4.900000000000003658e-02 1.000000000000000000e+03 -1.279253625000000000e+06 -1.279260582255237270e+06 6.879999999999999449e-01
-1.279260582255237270e+06 7.996482672337177974e+03 -5.000000000000003747e-02 1.000000000000000000e+03 -1.279070625000000000e+06 -1.279077583255237201e+06 1.629999999999999893e+00
-1.279077583255237201e+06 8.235018931778822662e+03 -5.100000000000003836e-02 1.000000000000000000e+03 -1.265576875000000000e+06 -1.265583834255237365e+06 1.300000000000000044e+00
-1.265583834255237365e+06 1.211404242244653142e+04 -5.200000000000003925e-02 1.000000000000000000e+03 -1.263617250000000000e+06 -1.263624210255237296e+06 3.900000000000000133e-01
-1.263624210255237296e+06 7.153835603278508643e+03 -5.300000000000004013e-02 1.000000000000000000e+03 -1.241986500000000000e+06 -1.241993461255237227e+06 1.326000000000000068e+00
