weight logl t0 tau logZsun
0.000000000000000000e+00 -2.065328500000000000e+06 1.342997808743118604e+01 4.541580214596118381e+00 2.791250980481838617e-01
0.000000000000000000e+00 -2.026259875000000000e+06 1.336955882798811501e+01 5.941715522037038788e+00 -1.811086966327498882e+00
0.000000000000000000e+00 -2.016253750000000000e+06 1.341753205107961122e+01 2.273923404046079177e+00 -2.163726357732884686e+00
0.000000000000000000e+00 -1.993117250000000000e+06 1.347467660491202146e+01 3.107507907873927055e-01 -2.415918010619774403e+00
0.000000000000000000e+00 -1.983549500000000000e+06 1.338776188795515232e+01 7.427647904698847725e+00 -1.597720646893671548e+00
0.000000000000000000e+00 -1.928388500000000000e+06 1.348593137182402835e+01 1.807483765103699236e+00 1.344496792351357328e-01
0.000000000000000000e+00 -1.901172750000000000e+06 1.327099069356411043e+01 6.629785076888453865e+00 -1.789594394517732834e+00
0.000000000000000000e+00 -1.877439000000000000e+06 1.324720496875558240e+01 9.686789724619824682e+00 3.610394143473265594e-01
0.000000000000000000e+00 -1.859440000000000000e+06 1.327201575284937718e+01 1.597296838686049325e+00 -2.069646868181735933e+00
0.000000000000000000e+00 -1.850370125000000000e+06 1.322066110470904654e+01 9.297609424575957959e+00 -1.864146208385527803e+00
0.000000000000000000e+00 -1.824352750000000000e+06 1.337081516848850704e+01 4.811628159666662796e+00 -1.444474404124650224e+00
0.000000000000000000e+00 -1.780082375000000000e+06 1.324136702876391780e+01 7.731133104740529838e+00 -1.579470565632867363e+00
0.000000000000000000e+00 -1.768969625000000000e+06 1.314403619696882508e+01 1.901005705303660420e+00 -2.255703487976581378e+00
0.000000000000000000e+00 -1.765872500000000000e+06 1.330337798684697503e+01 9.247256174496840231e+00 -1.469713088326698669e+00
0.000000000000000000e+00 -1.708315750000000000e+06 1.301456830735964587e+01 4.948652311428349826e+00 -2.162456753019125877e+00
0.000000000000000000e+00 -1.701621875000000000e+06 1.337063298230303410e+01 2.998296819064833474e-01 2.950652611263162584e-01
0.000000000000000000e+00 -1.595782750000000000e+06 1.349060401198173764e+01 1.128896957771519799e-01 1.859303734378103812e-01
