weight logl t0 tau logZsun
0.000000000000000000e+00 -2.065328500000000000e+06 9.947744841366557011e-01 8.286034946083209451e-01 9.263750326827279169e-01
0.000000000000000000e+00 -2.026259875000000000e+06 9.902655841782175283e-01 8.869559273885607720e-01 2.296376778908336691e-01
0.000000000000000000e+00 -2.016253750000000000e+06 9.938456754537022819e-01 6.783879158046226543e-01 1.120912140890384379e-01
0.000000000000000000e+00 -1.993117250000000000e+06 9.981101943964195700e-01 2.462061212460029402e-01 2.802732979340849528e-02
0.000000000000000000e+00 -1.983549500000000000e+06 9.916240214891904881e-01 9.354256542738665914e-01 3.007597843687761507e-01
0.000000000000000000e+00 -1.928388500000000000e+06 9.989501023749274289e-01 6.285372025662600004e-01 8.781498930783786516e-01
0.000000000000000000e+00 -1.901172750000000000e+06 9.829097532510530089e-01 9.107497248785328958e-01 2.368018684940890184e-01
0.000000000000000000e+00 -1.877439000000000000e+06 9.811346991608643764e-01 9.930899362094639526e-01 9.536798047824421865e-01
0.000000000000000000e+00 -1.859440000000000000e+06 9.829862502126400781e-01 6.016928160604514408e-01 1.434510439394213188e-01
0.000000000000000000e+00 -1.850370125000000000e+06 9.791538137842571432e-01 9.841856491600263768e-01 2.119512638714907693e-01
0.000000000000000000e+00 -1.824352750000000000e+06 9.903593409319781937e-01 8.411460289468896123e-01 3.518418652917832956e-01
0.000000000000000000e+00 -1.780082375000000000e+06 9.806990319973072356e-01 9.441215752303362407e-01 3.068431447890441754e-01
0.000000000000000000e+00 -1.768969625000000000e+06 9.734355370872257440e-01 6.394917101366087708e-01 8.143217067447283686e-02
0.000000000000000000e+00 -1.765872500000000000e+06 9.853267154363414271e-01 9.830064444751106523e-01 3.434289705577671103e-01
0.000000000000000000e+00 -1.708315750000000000e+06 9.637737542805705493e-01 8.472434708404629200e-01 1.125144156602913004e-01
0.000000000000000000e+00 -1.701621875000000000e+06 9.903457449479876606e-01 2.384373120048202122e-01 9.316884203754387528e-01
0.000000000000000000e+00 -1.595782750000000000e+06 9.992988068643087196e-01 2.632715133736374113e-02 8.953101244792700530e-01
0.000000000000000000e+00 -1.588888625000000000e+06 9.928942582554156626e-01 5.887639308372201175e-01 7.803265061767875599e-01
0.000000000000000000e+00 -1.583092625000000000e+06 9.737030993938652346e-01 8.105818404393181353e-01 3.554854829504753289e-01
0.000000000000000000e+00 -1.559990875000000000e+06 9.908345609237720897e-01 6.518347949688304555e-01 7.495175076668796343e-01
0.000000000000000000e+00 -1.555814375000000000e+06 9.379049225043443183e-01 6.897590808798499395e-01 4.778372340275527375e-02
0.000000000000000000e+00 -1.540042375000000000e+06 9.299823259703493550e-01 8.196703556332219920e-01 6.663659766517215921e-02
0.000000000000000000e+00 -1.539175625000000000e+06 9.893317454046184345e-01 6.701901973423155523e-01 7.526456504489363875e-01
0.000000000000000000e+00 -1.535600500000000000e+06 9.613377623389663951e-01 6.014095074870646762e-01 2.934497494897743142e-01
0.000000000000000000e+00 -1.530921625000000000e+06 9.359978443668606207e-01 9.234398665935200645e-01 1.391075381495890939e-01
0.000000000000000000e+00 -1.528083875000000000e+06 9.306095133650816864e-01 7.392403270891656497e-01 6.852112662568621282e-02
0.000000000000000000e+00 -1.495763000000000000e+06 9.508049883884643894e-01 8.882160017514292294e-01 2.992730470969304779e-01
0.000000000000000000e+00 -1.489624500000000000e+06 9.265949141616908191e-01 6.616730709615800121e-01 5.301600615494805879e-02
0.000000000000000000e+00 -1.479704750000000000e+06 9.695921687681833268e-01 2.269020901425310432e-01 1.034497515665051548e-01
0.000000000000000000e+00 -1.462887125000000000e+06 9.441769453962989278e-01 5.111951763940132398e-01 1.489679349571272349e-01
0.000000000000000000e+00 -1.455956000000000000e+06 9.463273343839154750e-01 5.883911880050538556e-01 2.428568397631593045e-01
0.000000000000000000e+00 -1.455044375000000000e+06 9.952842196934866825e-01 7.955193212335123221e-01 5.932453212003403475e-01
0.000000000000000000e+00 -1.450584000000000000e+06 9.335217413612005855e-01 7.142215954760477992e-01 1.859853054920421744e-01
0.000000000000000000e+00 -1.450006375000000000e+06 9.817194977141683321e-01 5.682135545661557430e-01 4.595864718075495237e-01
0.000000000000000000e+00 -1.440380500000000000e+06 9.697847450497549815e-01 7.593140688586483833e-01 4.109059345838923516e-01
0.000000000000000000e+00 -1.429617000000000000e+06 9.573303069363725548e-01 3.591815470945250999e-01 1.830280531475013683e-01
0.000000000000000000e+00 -1.426829000000000000e+06 9.656553817861404099e-01 5.477253576950230629e-01 9.222899038298790764e-01
0.000000000000000000e+00 -1.425198500000000000e+06 9.790821502188592484e-01 9.461111642380931608e-01 7.043508265795221934e-01
0.000000000000000000e+00 -1.383954750000000000e+06 9.898000090837534293e-01 5.546422146764405925e-01 5.692281711509891151e-01
0.000000000000000000e+00 -1.363643875000000000e+06 9.012804130574803008e-01 9.087231975021272667e-01 1.281079891073865218e-01
0.000000000000000000e+00 -1.352338625000000000e+06 9.676681521976454592e-01 3.301821638844609774e-01 3.357180699436155269e-01
0.000000000000000000e+00 -1.349127750000000000e+06 9.448357270037104350e-01 5.096055548453534145e-01 2.861816654910889213e-01
0.000000000000000000e+00 -1.348598875000000000e+06 9.137789903649390366e-01 8.548627097075726100e-01 2.086874771763418401e-01
0.000000000000000000e+00 -1.348260375000000000e+06 9.797323223269586157e-01 4.346084733163717573e-01 7.432314012256553415e-01
